City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cidreira,BR,58.41,clear sky,-30.1811,-50.2056,Hotel Castelo
1,Arraial Do Cabo,BR,68.11,clear sky,-22.9661,-42.0278,Pousada Porto Praia
3,Sitka,US,57.09,light rain,57.0531,-135.33,Westmark Sitka
5,Bluff,NZ,51.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
6,Chumikan,RU,54.09,light rain,54.7183,135.315,Fortuna
8,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
9,Rikitea,PF,72.1,light rain,-23.1203,-134.9692,People ThankYou
10,Atherton,GB,54.95,overcast clouds,53.5237,-2.4935,The Mercury Motel
12,Hamilton,US,73.49,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
13,Nikolskoye,RU,57.79,overcast clouds,59.7035,30.7861,Tourist House - Sablino
14,New Norfolk,AU,53.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
15,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
16,Cherskiy,RU,72.23,broken clouds,68.75,161.3,Gostinitsa
19,Castro,BR,52.0,clear sky,-24.7911,-50.0119,CHACARA BAILLY
21,Liepaja,LV,60.78,overcast clouds,56.5419,21.0367,Promenade Hotel
22,Thompson,CA,57.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
23,Bambous Virieux,MU,68.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
26,Denizli,TR,72.91,clear sky,37.8402,29.0698,Anemon Denizli Hotel
27,Bonavista,CA,63.36,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
28,East London,ZA,53.49,clear sky,-33.0153,27.9116,Tu Casa
29,San Jeronimo,PE,49.44,few clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
30,Saldanha,ZA,50.31,clear sky,-33.0117,17.9442,Blue Bay Lodge
31,Sept-Iles,CA,75.2,broken clouds,50.2001,-66.3821,Comfort Inn
32,Olafsvik,IS,48.38,broken clouds,64.8945,-23.7142,Hotel Olafsvik
33,Mbandaka,CD,70.9,overcast clouds,0.0487,18.2603,Guest House Epervier
34,Rio Casca,BR,67.23,broken clouds,-20.2261,-42.6508,Hotel Morada do Sol
36,Uzyn,UA,62.56,overcast clouds,49.8262,30.4149,Cafe motel Megasport
37,Pangnirtung,CA,47.75,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
39,Izmayil,UA,63.25,few clouds,45.3493,28.8408,Art-Hotelʹ
41,Hobart,AU,54.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
42,Marica,BR,69.71,clear sky,-22.9194,-42.8186,Marica Hills
44,Norman Wells,CA,73.44,scattered clouds,65.282,-126.8329,Heritage Hotel
45,Devils Lake,US,69.78,overcast clouds,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
47,Hermanus,ZA,47.82,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
49,Mataura,NZ,51.48,broken clouds,-46.1927,168.8643,Ellie's Villa
50,Petropavlovsk-Kamchatskiy,RU,62.78,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
52,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Stettler,CA,65.95,overcast clouds,52.3168,-112.7186,Ramada by Wyndham Stettler
55,Svetlyy,RU,62.96,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
56,Sandwick,GB,51.62,light rain,60.0,-1.25,Beach House Self-Catering Accomodation
57,Port Elizabeth,ZA,49.32,clear sky,-33.918,25.5701,39 On Nile Guest House
58,Inirida,CO,73.47,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
59,Moroni,KM,74.35,clear sky,-11.7022,43.2551,Hotel Les Arcades
60,Maua,BR,55.36,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
61,Rio De Janeiro,BR,69.76,broken clouds,-22.9028,-43.2075,Hotel cruz de ouro
62,Alyangula,AU,79.05,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
63,Constitucion,CL,48.65,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
64,Mahebourg,MU,68.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Yar-Sale,RU,54.3,clear sky,66.8333,70.8333,Yalemd
67,Bethel,US,78.03,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
69,Nanortalik,GL,45.73,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
70,Puerto Armuelles,PA,78.78,overcast clouds,8.2833,-82.8667,Big Daddy's Beach Club & Hotel
71,Makokou,GA,67.77,broken clouds,0.5738,12.8642,Hôtel
73,Krasnoselkup,RU,50.86,clear sky,65.7,82.4667,Krasnosel'kupnefteprodukt
74,Esperance,AU,56.97,overcast clouds,-33.8667,121.9,Hospitality Esperance
75,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
76,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
77,Carutapera,BR,76.08,overcast clouds,-1.195,-46.02,Lidera
78,Busselton,AU,59.29,overcast clouds,-33.65,115.3333,Observatory Guest House
79,Gunnedah,AU,53.01,overcast clouds,-30.9833,150.25,Gunnedah Motor Inn
81,Bud,US,76.95,clear sky,39.447,-86.1758,Ted McQuinn Trust
82,Rocky Mountain House,CA,73.51,broken clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
84,Havre-Saint-Pierre,CA,61.16,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
86,General Roca,AR,49.46,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
87,Caravelas,BR,70.16,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
88,Sangmelima,CM,64.98,broken clouds,2.9333,11.9833,gamestar hotel
91,Freeport,US,79.47,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
92,Kargasok,RU,55.17,overcast clouds,59.0556,80.8572,Hotel Kargasok
93,Santa Maria,BR,49.3,fog,-29.6842,-53.8069,Hotel Morotin
94,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
96,Skjervoy,NO,51.8,broken clouds,70.0311,20.9714,Skjervøy fiskecamp AS
97,North Bend,US,67.91,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
98,Tuktoyaktuk,CA,64.4,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
101,Pevek,RU,52.2,clear sky,69.7008,170.3133,Severnoye Zoloto
102,Klaksvik,FO,50.49,broken clouds,62.2266,-6.589,Airbnb rooms
104,Cape Town,ZA,55.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
105,Faanui,PF,78.42,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Iqaluit,CA,46.13,broken clouds,63.7506,-68.5145,Frobisher Inn
107,Port Alfred,ZA,51.93,clear sky,-33.5906,26.891,The Halyards Hotel
110,Ulladulla,AU,61.7,clear sky,-35.35,150.4667,Sandpiper Motel
111,Kruisfontein,ZA,45.03,clear sky,-34.0033,24.7314,Oyster Bay House Rental
112,Grindavik,IS,51.75,few clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
113,Carnarvon,AU,70.09,light rain,-24.8667,113.6333,Hospitality Carnarvon
114,Lebu,CL,46.58,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
116,Pangody,RU,53.28,clear sky,65.85,74.4859,Elizaveta Shevchuk's House
118,Viljoenskroon,ZA,46.38,few clouds,-27.2084,26.9485,DIE LAPA
119,Baie-Comeau,CA,62.28,clear sky,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
123,Ahipara,NZ,58.28,few clouds,-35.1667,173.1667,Ahipara Holiday Park
124,Kaitangata,NZ,49.08,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
126,Hunterville,NZ,54.7,clear sky,-39.9333,175.5667,Argyle Hotel
127,Mbanza-Ngungu,CD,66.27,overcast clouds,-5.25,14.8667,Hotel Full Business
128,Kommunar,RU,57.43,overcast clouds,59.6206,30.39,Guest House Izhora
129,Torbay,CA,67.87,few clouds,47.6666,-52.7314,Gallows Cove
132,Kavaratti,IN,77.94,overcast clouds,10.5669,72.642,Green leaf
133,Komsomolskiy,UZ,77.72,few clouds,40.4272,71.7189,Ikathouse
134,San Quintin,MX,72.43,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
135,Visaginas,LT,59.58,overcast clouds,55.6,26.4167,B&B Idile
136,Picota,PE,77.49,broken clouds,-6.9197,-76.3304,Hospedaje Vanessa
137,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
141,Roald,NO,55.17,broken clouds,62.5833,6.1333,Flem Cabins
143,Artyom,AZ,71.74,clear sky,40.4723,50.333,Pir hos
144,Vani,GE,67.69,broken clouds,42.0832,42.5216,სასტუმრო ამირანი
146,Ilhabela,BR,63.3,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
147,Ribeira Grande,PT,73.78,few clouds,38.5167,-28.7,Quinta da Meia Eira
148,La Mata,PA,76.71,overcast clouds,8.0833,-80.8833,Black Lion Inn
149,Staunton,US,72.28,broken clouds,38.1496,-79.0717,Hotel 24 South
151,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
152,Oyem,GA,64.17,broken clouds,1.5995,11.5793,Commissariat de police
153,Upernavik,GL,48.2,overcast clouds,72.7868,-56.1549,Café de Upernavik
154,Sinnamary,GF,78.26,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
157,Genhe,CN,77.32,scattered clouds,50.7833,121.5167,Companionship Hotel
159,Le Havre,FR,65.95,overcast clouds,49.4938,0.1077,Oscar Hôtel
163,Gwanda,ZW,56.68,clear sky,-20.9333,29.0,Mafax Homeways
164,Camalu,MX,74.1,clear sky,30.85,-116.0667,La Cueva del Pirata
166,Pacific Grove,US,73.54,clear sky,36.6177,-121.9166,Lovers Point Inn
167,Tuatapere,NZ,50.13,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
172,Leh,IN,59.41,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
174,Talara,PE,62.73,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
175,Lagoa,PT,72.39,clear sky,39.05,-27.9833,Casa Das Faias
176,Lindi,TZ,65.7,clear sky,-10.0,39.7167,Lindi paradise house
179,Tutoia,BR,77.56,moderate rain,-2.7619,-42.2744,Tutóia Pousada Vila Beach
180,Fairbanks,US,68.22,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
181,Salta,AR,57.79,clear sky,-24.7859,-65.4117,Hotel Alejandro I
183,Ahmadnagar,IN,75.18,overcast clouds,19.0833,74.7333,STARiHOTELS Maliwada Ahmednagar
185,Vila Franca Do Campo,PT,70.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
186,Saint-Philippe,RE,66.22,scattered clouds,-21.3585,55.7679,Le four à pain
187,Yokadouma,CM,66.22,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
189,Sao Felix Do Xingu,BR,74.37,few clouds,-6.6447,-51.995,Rio Xingu Camping
190,Blanquefort,FR,63.3,clear sky,44.9125,-0.6366,OTELLIA (Auberge de jeunesse)
191,Gitarama,RW,58.46,light rain,-2.0744,29.7567,Muhanga in Cyakabiri Motel
192,Altay,CN,74.8,clear sky,47.8667,88.1167,Jinqiao Hotel
193,Yulara,AU,64.45,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
194,Sioux Lookout,CA,62.67,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
197,Nuuk,GL,47.88,overcast clouds,64.1835,-51.7216,Vandrehuset
199,Ucluelet,CA,66.51,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
201,Matara,LK,78.03,light rain,5.9485,80.5353,Amaloh Boutique Resort
202,Sapernoye,RU,56.66,broken clouds,60.7167,29.9505,База отдыха «Юность»
204,Utete,TZ,67.41,scattered clouds,-7.986,38.758,River View Lodge
205,Saltpond,GH,73.22,overcast clouds,5.2091,-1.0606,Mfantseman Beach Resort
206,Olavarria,AR,52.02,few clouds,-36.8927,-60.3225,Hotel Santa Rosa
207,Vaitape,PF,78.42,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
209,Koulamoutou,GA,69.75,clear sky,-1.1303,12.4736,Motel Bouenguidi
210,Vestmannaeyjar,IS,49.08,broken clouds,63.4427,-20.2734,Glamping & Camping
211,Mocuba,MZ,62.56,clear sky,-16.8392,36.9856,Phama Lodge
212,Vao,NC,70.0,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
213,Millinocket,US,73.51,clear sky,45.6573,-68.7098,Katahdin Inn & Suites
214,Darhan,MN,73.11,few clouds,49.4867,105.9228,Buudai Hotel
215,Narsaq,GL,48.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
216,Yellowknife,CA,66.72,scattered clouds,62.456,-114.3525,The Explorer Hotel
218,Chuy,UY,47.03,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
219,Inta,RU,60.8,few clouds,66.0317,60.1659,Apartments in Inta city
224,Salekhard,RU,56.46,few clouds,66.53,66.6019,Hotel 89
225,Shache,CN,77.09,overcast clouds,38.4167,77.2406,Delong Hotel
226,Tautira,PF,77.13,broken clouds,-17.7333,-149.15,Pension Oaoa
227,Elmira,US,73.72,clear sky,42.0898,-76.8077,Mark Twain Motor Inn
228,Chapais,CA,62.38,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
229,Kushmurun,KZ,64.94,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
230,Viedma,AR,45.36,overcast clouds,-40.8135,-62.9967,Hotel Cristal
233,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
238,Lasa,IT,65.28,clear sky,46.6166,10.7002,Pension Feldgärtenhof
239,Akureyri,IS,48.13,broken clouds,65.6835,-18.0878,Icelandair Hotel Akureyri
240,Mar Del Plata,AR,54.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
242,Tura,IN,74.1,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
243,Huarmey,PE,62.53,few clouds,-10.0681,-78.1522,Hotel Miramar
244,Shakawe,BW,55.58,clear sky,-18.3667,21.85,Ditlhapi Guest House
247,Te Anau,NZ,46.11,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
248,Ketchikan,US,64.87,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
249,Yalta,UA,74.89,light rain,44.5,34.1667,Yalta Inturist
254,Kaupanger,NO,54.1,overcast clouds,61.1845,7.2404,Vesterland Holiday Park
256,Paraiso,CR,68.86,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
260,Guerrero Negro,MX,75.22,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
261,Jumla,NP,63.66,overcast clouds,29.2747,82.1838,Royal Garden Hotel
262,Sangre Grande,TT,78.76,broken clouds,10.5835,-61.1177,Lotus drive
263,Koungou,YT,71.31,clear sky,-12.7336,45.2042,Villa Netibor
265,Richards Bay,ZA,60.44,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
267,Mandan,US,74.8,clear sky,46.8267,-100.8896,Twin City Estates
271,Pella,RU,57.96,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
